Provinsi,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17
Aceh,29.74,4.99,5.21,0.13,0.04,9.38,15.82,6.62,1.61,2.83,1.97,4.19,0.63,10.11,2.7,2.63,1.39
Sumatera Utara,20.92,1.29,20.03,0.11,0.1,13.89,18.13,5,2.38,2.04,3.05,5.04,1.03,3.6,1.83,0.98,0.57
Sumatera Barat,23.16,4.27,9.1,0.11,0.09,9.64,15.31,12.66,1.36,5.47,3.01,1.96,0.43,5.92,4.2,1.39,1.93
Riau,22.44,27.82,24.53,0.06,0.01,8.86,9.81,0.85,0.54,0.68,0.9,0.85,0.01,1.45,0.51,0.19,0.51
Jambi,27.57,20.17,9.97,0.06,0.14,7.07,11.77,3.19,1.19,3.79,2.32,1.55,1.19,4.6,3.35,1.11,0.96
Sumatera Selatan,14.8,20.24,19.52,0.13,0.12,12.98,12.94,2.37,1.76,2.85,2.54,3.07,0.13,2.85,2.36,0.59,0.76
Bengkulu,28.65,3.44,6.07,0.09,0.2,5.13,14.85,8.15,1.73,3.6,3.16,3.86,2.23,10.01,6.25,1.71,0.84
Lampung,30,5.78,19.44,0.16,0.1,9.44,11.15,5.17,1.58,3.92,2.14,2.86,0.15,3.45,2.83,0.93,0.91
Kep. Bangka Belitung,18.01,10.59,20.64,0.12,0.02,9.73,15.7,4.25,2.6,1.72,1.93,3.45,0.3,5.98,2.91,1.24,0.82
Kep. Riau,3.25,14.14,36.86,1.07,0.12,18.72,8.86,3.06,2.26,2.02,2.73,1.39,0.01,2.58,1.5,0.9,0.53
DKI Jakarta,0.08,0.25,13.15,0.35,0.04,12.11,16.93,3.62,4.78,7.87,10.26,6.06,8.26,5.51,5.12,1.7,3.91
Jawa Barat,8.67,1.36,42.16,0.56,0.09,8.44,14.87,5.69,2.78,2.87,2.79,1.06,0.42,2.37,3.03,0.76,2.08
Jawa Tengah,14.04,2.59,34.5,0.1,0.06,10.73,13.51,3.12,3.11,3.47,2.95,1.69,0.4,2.75,4.5,0.89,1.59
DI Yogyakarta,9.78,0.53,12.99,0.14,0.1,10.28,8.59,5.75,10.22,8.1,3.93,6.95,1.01,8.43,8.11,2.48,2.6
Jawa Timur,11.9,4.28,29.73,0.31,0.09,9.71,18.19,3.43,5.79,4.53,2.71,1.62,0.83,2.31,2.59,0.62,1.36
Banten,5.78,0.69,31.2,2.08,0.08,10.61,12.49,11.08,2.38,3.53,3.08,7.62,1.09,2,3.44,1.21,1.63
Bali,13.81,0.94,6.07,0.24,0.18,9.38,8.45,9.5,23.34,5.22,3.86,3.83,1.04,5.25,5.12,2.19,1.58
Nusa Tenggara Barat,23.4,13.98,4.12,0.08,0.08,9.51,14.49,7.54,2.15,1.98,3.79,3.31,0.18,6.31,4.94,1.98,2.15
Nusa Tenggara Timur,28.4,1.22,1.26,0.08,0.05,10.84,11.16,5.51,0.76,6.63,4.1,2.5,0.29,13.34,9.55,2.17,2.12
Kalimantan Barat,20.25,5.48,16.09,0.11,0.12,12.53,14.09,4.79,2.36,3.77,3.78,2.9,0.44,6.98,3.94,1.4,0.98
Kalimantan Tengah,19.86,11.88,15.71,0.08,0.09,9.73,12.89,7.18,1.87,0.99,3.18,2.25,0.04,6.43,4.75,1.99,1.07
Kalimantan Selatan,14.39,20.61,14,0.14,0.42,7.95,10.01,6.62,2.01,3.53,3.61,2.21,0.68,5.95,4.66,1.95,1.25
Kalimantan Timur,7.88,46.35,18.27,0.05,0.05,8.5,5.59,3.69,0.97,1.25,1.53,0.88,0.2,1.98,1.59,0.61,0.63
Kalimantan Utara,16.04,27.51,9.43,0.05,0.06,12.91,11.67,7.1,1.63,2.32,1.14,0.78,0.23,5.04,2.43,1,0.65
Sulawesi Utara,20.95,4.96,9.16,0.09,0.12,11.78,12.15,11.2,2.19,3.95,3.82,3.5,0.1,7.99,2.79,3.58,1.68
Sulawesi Tengah,27.73,13.44,12.6,0.03,0.13,12.47,8.86,3.96,0.53,3.37,2.21,1.79,0.25,6.55,3.81,1.42,0.85
Sulawesi Selatan,22.5,4.91,12.86,0.06,0.1,13.54,14.37,4.27,1.41,4.93,3.74,3.71,0.46,4.47,5.28,1.99,1.41
Sulawesi Tenggara,23.96,20.9,6.05,0.04,0.17,13.44,12.63,4.59,0.58,1.82,2.35,1.4,0.2,5.19,4.51,0.9,1.26
Gorontalo,38.66,1.11,4.11,0.05,0.06,11.12,11.83,5.85,2.37,2.69,4.24,1.87,0.09,6.59,4.31,3.53,1.51
Sulawesi Barat,42.12,2.23,9.7,0.04,0.15,8.25,10.29,1.38,0.23,3.98,2.19,2.58,0.07,8.08,5.03,1.95,1.74
Maluku,23.32,2.57,5.35,0.09,0.41,7.65,13.53,5.18,1.69,3.02,3.86,0.3,0.98,22.52,5.72,2.13,1.67
Maluku Utara,22.6,10.72,7.45,0.09,0.07,6.67,17.31,6.06,0.44,3.49,3.04,0.11,0.31,15.43,3.42,2.03,0.75
Papua Barat,10.46,17.98,26.78,0.04,0.1,15.39,7.01,2.98,0.64,1.63,1.51,1.29,0.12,10.65,2.33,0.79,0.29
Papua,11.28,36.72,2.03,0.04,0.05,12.82,8.94,5.43,0.78,3.56,1.51,2.55,1.14,8.88,1.76,1.52,1.01
